top_k,time_s,total_mb,num_rows,avg_bytes_per_row
5,0.003973245620727539,1.2228755950927734,10000,128.2278
5,0.0028002262115478516,2.4594955444335938,20000,128.9484
5,0.0050852298736572266,4.932313919067383,40000,129.29765
5,0.012525081634521484,9.771114349365234,80000,128.07195
5,0.022695064544677734,19.598217010498047,160000,128.438875
5,0.05189108848571777,39.209524154663086,320000,128.48176875
5,0.13921117782592773,78.4342212677002,640000,128.506628125
5,0.3798661231994629,156.857985496521,1280000,128.49806171875
5,0.9557182788848877,313.909592628479,2560000,128.577369140625
5,2.1709702014923096,627.4491882324219,5120000,128.50159375
5,0.0033729076385498047,1.2228755950927734,10000,128.2278
5,0.0029659271240234375,2.4594955444335938,20000,128.9484
5,0.005037069320678711,4.932313919067383,40000,129.29765
5,0.010397911071777344,9.771114349365234,80000,128.07195
5,0.017802953720092773,19.598217010498047,160000,128.438875
5,0.061079978942871094,39.209524154663086,320000,128.48176875
5,0.15026116371154785,78.4342212677002,640000,128.506628125
5,0.38806700706481934,156.857985496521,1280000,128.49806171875
5,0.9330739974975586,313.909592628479,2560000,128.577369140625
5,2.2515530586242676,627.4491882324219,5120000,128.50159375
6,0.26702380180358887,122.56680679321289,1000000,128.520612
6,0.23227691650390625,122.56680679321289,1000000,128.520612
6,0.27011704444885254,122.56680679321289,1000000,128.520612
6,0.0016369819641113281,1.2228755950927734,10000,128.2278
6,0.001867055892944336,1.2228755950927734,10000,128.2278
6,0.0017879009246826172,1.2228755950927734,10000,128.2278
6,0.0029191970825195312,1.2228755950927734,10000,128.2278
6,0.0022411346435546875,1.2228755950927734,10000,128.2278
5,0.0017311573028564453,1.2228755950927734,10000,128.2278
5,0.002810239791870117,2.4594955444335938,20000,128.9484
5,0.0052568912506103516,4.932313919067383,40000,129.29765
5,0.008692026138305664,9.771114349365234,80000,128.07195
5,0.022871971130371094,19.598217010498047,160000,128.438875
5,0.06059098243713379,39.209524154663086,320000,128.48176875
5,0.14908218383789062,78.4342212677002,640000,128.506628125
5,0.3834259510040283,156.857985496521,1280000,128.49806171875
5,0.9298770427703857,313.909592628479,2560000,128.577369140625
5,2.167517900466919,627.4491882324219,5120000,128.50159375
